Utstein Data Element,Formula,Variables to collect
,,App: Symptom-centered triage assessment and decision of the EMS responder (See variables on Appendix B for the secondary triage variables to be encoded per triage system in-app) | Number of survivors whose actual secondary triage category is T2 but who were assigned T1 by first responders | Number of survivors whose actual secondary triage category is T2
Percentage of “minor” category (T3) survivors triaged as “immediate” (T1) or “delayed” (T2),,App: Symptom-centered triage assessment and decision of the EMS responder (menus shown after the triage system had been previously selected) (See variables on Appendix A for the primary triage variables to be encoded in-app) | Number of survivors whose actual primary triage category is T3 but who were assigned T1 or T2 by first responders | Number of survivors whose actual primary triage category is T3
Percentage of “minor” category (T3) survivors triaged as “immediate” (T1) or “delayed” (T2),,App: Symptom-centered triage assessment and decision of the EMS responder (menus shown after the triage system had been previously selected) (See variables on Appendix B for the secondary triage variables to be encoded in-app) | Number of survivors whose actual secondary triage category is T3 but who were assigned T1 or T2 by first responders | Number of survivors whose actual secondary triage category is T3
On-site medical care,On-site medical care,On-site medical care
On-site stabilization or treatment,,On-site stabilization or treatment done and type | No (Scoop and Run) | No (SCOOTER) | Yes (Stay and Play) | Partly (1+3 or Play and Run) | Unknown
Percentage of “immediate” category survivors stabilized in a “treatment area” per time unit after initiation of the response,,Number of stabilized T1 survivors within each identified time interval after the activation of the DMMP:  | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time of stabilization of T1 survivors in a treatment area (Stabilized) | Total number of survivors on site | Time point of the activation of the DMMP
Percentage of “delayed” category survivors stabilized in a “treatment area” per time unit after initiation of the response,,Number of stabilized T2 survivors within each identified time interval after the activation of the DMMP:  | 1 minute | 5 minutes | 10 minutes | 15 minutes | 30 minutes | 1 hour | Time of stabilization of T2 survivors in a treatment area (Stabilized) | Total number of survivors on site | Time point of the activation of the DMMP
Scene casualty clearance,Scene casualty clearance,Scene casualty clearance
Time point of first EMS vehicle on scene,,DD:HH:MM of first EMS vehicle arrival at the scene
Time point of transportation of first ill/injured survivor from scene by EMS,,DD:HH:MM of first ill/injured survivor transported out of the scene by the EMS | DD:HH:MM of the transport out of each survivor (Departure from Scene)
Time point of transportation of last ill/injured survivor from scene by EMS,,DD:HH:MM of last ill/injured survivor transported out of the scene by the EMS | DD:HH:MM of the transport out of each survivor (Departure from Scene)
