PRIMARY TRIAGE,PRIMARY TRIAGE,PRIMARY TRIAGE,PRIMARY TRIAGE
STIEVE,,START,
mSTART,,JumpSTART,
SIEVE,,CARE FLIGHT,
SALT,,PTT,IMPORTANT NOTE!: Respiratory rate and pulse rate thresholds change with height. | 40–80cm: RR: 20–50; PR: 90–180 | 80–100cm: RR: 15–40; PR: 80–160 | 100–140cm: RR: 10–30; PR: 70–140
MITT,,SALT,
Homebush,,MPTT,
